year,rank,artist,song,lyrics
1972,6,"Lou Reed","Walk on the Wild Side","Holly came from Miami, F-L-A|Hitchhiked her way across the U.S.A. |Plucked her eyebrows on the way|Shaved her legs and then he was a she|She says, Hey babe, take a walk on the wild side|Said, Hey honey, take a walk on the wild side|Candy came from out on the Island|In the backroom, she was everybody's darling|But she never lost her head|Even when she was giving head|She says, Hey babe, take a walk on the wild side|Said, Hey babe, take a walk on the wild side|And the colored girls go|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo|Little Joe never once gave it away|Everybody had to pay and pay|A hustle here and a hustle there|New York City is the place where they said|Hey babe, take a walk on the wild side|I said, Hey Joe, take a walk on the wild side|Sugar Plum Fairy came and hit the streets|Looking for soul food and a place to eat|Went to the Apollo|You should've seen him go, go, go|They said, Hey sugar, take a walk on the wild side|I said, Hey babe, take a walk on the wild side|Alright, huh|Jackie is just speeding away|Thought she was James Dean for a day|Then I guess she had to crash|Valium would've helped that bash|She said, Hey babe, take a walk on the wild side|I said, Hey honey, take a walk on the wild side|And the colored girls say|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo, doo-doo, doo-doo, doo-doo-doo|Doo|"
1972,7,"Stevie Wonder","You Are the Sunshine of My Life","You are the sunshine of my life|That's why I'll always be around|You are the apple of my eye|Forever, you'll stay in my heart|I feel like this is the beginning|Though I've loved you for a million years|And if I thought our love was ending|I'd find myself drowning in my own tears, woah|You are the sunshine of my life, yeah|That's why I'll always stay around, mmm-mmm, yeah-yeah|You are the apple of my eye|Forever, you'll stay in my heart|You must have known that I was lonely|Because you came to my rescue, ooh|And I know that this must be heaven|How could so much love be inside of you, woah?|You are the sunshine of my life, yeah|That's why I'll always stay around, mmm (Baby)|You are the apple of my eye|Forever, you'll stay in my heart, yeah|You are my sunshine of my life, oh, yeahYou might also like1"
1972,8,"Harold Melvin & the Blue Notes","If You Don't Know Me by Now","If you don't know me by now|You will never, never, never know me|All the things|That we've been through|You should understand me|Like I understand you|Now, baby, I know the difference|Between right and wrong|I ain't gonna do nothin'|To upset our happy home|Oh, don't get so excited|When I come home a little late at night|'Cause we only act like children|When we argue fuss and fight|(If you don't know me by now)|If you don't know me by now|(You will never, never, never know me)|You will never, never, never know me|(If you don't know me by now)|If you don't know me, baby|(You will never, never, never know me)|No, you won't|We've all got|Our own funny moods|I've got mine|Woman, you've got yours too|Just trust in me|Like I trust in you|As long as we've been together|That should be so easy to do|Just get yourself together|Or we might as well say goodbye|What good is a love affair|When we can't see eye to eye|(If you don't know me by now)|If you don't, if you don't know me, baby|(You will never, never, never know me)|(If you don't know me by now)|If you don't know me by now|(You will never, never, never know me)|No, you won't|(If you don't know me by now)|(You will never, never, never know me)|(If you don't know me by now)|(You will never, never, never know me)1"
1972,9,"The Staple Singers","I'll Take You There","I know a place|Ain't nobody cryin', ain't nobody worried|Ain't no smilin' faces, mmm, naw, naw|Lyin' to the races|Help me, come on, come on|Somebody help me now|(I'll take you there)|Help me, y'all|(I'll take you there)|Help me now|(I'll take you there)|Oh!|(I'll take you there)|Oh, oh! mercy|(I'll take you there)|Oh, let me take you there!|(I'll take you there)|Oh, oh, let me take you there!|(I'll take you there)|Play your, play your, play, play|Play your, play your piano now|Alright, ah, do it, do it, come on now|Play on it, play on it, big daddy now|Daddy, daddy, daddy, play your|You might also likeOoh, Lord, alright now|Baby, little Davey, easy now, help me out|Come on, little Davey, alright|Sock it, sock it, ah, oh, ah|I know a place, y'all|(I'll take you there)|Ain't nobody cryin'|(I'll take you there)|Ain't nobody worried|(I'll take you there)|No smilin' faces|(I'll take you there)|Uh uh|(Lyin' to the races)|(I'll take you there)|Oh, no|Oh!|(I'll take you there)|Oh, oh, oh!|(I'll take you there)|Mercy now!|(I'll take you there)|I'm callin', callin', callin' for mercy!|(I'll take you there)|Mercy, mercy!|(I'll take you there)|Let me|(I'll take you there)|Oh, oh!|I'll take you there|(I'll take you there)|Oh, I wanna take you there|(I'll take you there)|Just take me by the hand, let me|(I'll take you there)|Let me, let me, let me, let me lead, lead the way|Oh!|(I'll take you there)|Let me take you there!|(I'll take you there)|Let me take you there!|(I'll take you there)|Ain't no smilin' faces!|(I'll take you there)|Up in here, lyin' to the races!|(I'll take you there)|You oughta, you gotta, gotta, gotta let me, let me!|(I'll take you there)|Take you, take you, take you over there!|(I'll take you there)|Ooh, oh, oh! Alright|(I'll take you there)|Oh, alright!|(I'll take you there)|Oh, oh!|(I'll take you there)|Ah, oh yeah|(I'll take you there)|Oh yeah|(I'll take you there)|Let me lead the way|(I'll take you there)|Let me, let me, let me lead the way|(I'll take you there)|(I'll take you there)|Oh, mmm|(I'll take you there)|You won't have to pay, oh, oh no2"
1972,10,"The Rolling Stones","Tumbling Dice","Mmm, yeah|Women think I'm tasty, but they're always tryin' to waste me|And make me burn the candle right down|But baby, baby, I don't need no jewels in my crown|'Cause all you women is low down gamblers|Cheatin' like I don't know how|But baby, I go crazy, there's fever in the funk house now|This low down bitchin' got my poor feet a-itchin'|You know you know the deuce is still wild|Baby, I can't stay, you got to roll me|And call me the tumbling dice|Always in a hurry, I never stop to worry|Don't see the time flashin' by|Honey, got no money|I'm all sixes and sevens and nines|Say now, baby, I'm the rank outsider|You can be my partner in crime|Baby, I can't stay|You got to roll me and call me the tumbling|Roll me and call me the tumbling dice|Baby, oh my|Oh, my, my, my, I'm the lone craps shooter|Playing the field every night|Baby, get it straight|You got to roll me and call me the tumbling dice|Got to roll me (Call me the tumbling dice)|Got to roll me|Got to roll me|Got to roll me (Oh, oh yeah)|Got to roll me (Oh, oh)|Got to roll me (Oh yeah)|Got to roll me (Oh, keep on rolling)|Got to roll me (Oh, keep on rolling)|Got to roll me (Oh yeah, keep on rolling)|Got to roll me (Call me the tumbling dice)|Got to roll me (Yeah)|Got to roll me (Roll me, baby)|Got to roll me (Ah yeah)|Got to roll me (Oh my, my, my, my)|Got to roll me|Got to roll me (Keep on tumbling down, baby, oh)|Got to roll me|Got to roll me|Got to roll me4"
1973,1,"Lynyrd Skynyrd","Free Bird","If I leave here tomorrow|Would you still remember me?|For I must be traveling on, now|'Cause there's too many places I've got to see|But if I stay here with you, girl|Things just couldn't be the same|'Cause I'm as free as a bird now|And this bird you cannot change|Oh-oh-oh-oh-oh|And the bird you cannot change|And this bird you cannot change|Lord knows I can't change|Bye-bye, baby, it's been a sweet love, yeah-yeah|Though this feeling I can't change|But, please, don't take it so badly|'Cause Lord knows I'm to blame|But, if I stay here with you, girl|Things just couldn't be the same|'Cause I'm as free as a bird now|And this bird you cannot change|Oh-oh-oh-oh-oh|And the bird you cannot change|And this bird you cannot change|Lord knows I can't change|Lord, help me, I can't change|Lord, I can't change|Won't you fly high, free bird, yeah|"
1973,2,"Marvin Gaye","Let's Get It On","I've been really trying, baby|Trying to hold back this feeling for so long|And if you feel like I feel, baby|Then come on, oh, come on, ooh|Let's get it on, ow, baby|Let's get it on, let's love, baby|Let's get it on, sugar|Let's get it on, woo|We're all sensitive people with so much to give|Understand me, sugar|Since we got to be here, let's live, I love you|There's nothing wrong with me loving you, baby, no, no|And giving yourself to me can never be wrong|If the love is true, oh, baby, ooh|Now don't you know how sweet and wonderful life can be? Ooh, ooh|I'm asking you, baby, to get it on with me, ooh, ooh, ooh|I ain't gonna worry, I ain't gonna push, I won't push you, baby|So come on, come on, come on, come on, come on, baby|Stop beating 'round the bush, hey|Let's get it on, ooh, ooh, let's get it on|You know what I'm talkin' 'bout|Come on, baby, hey, let your love come out|If you believe in love|Let's get it on, ooh, let's get it on, baby|This minute, oh yeah, let's get it on|Please, let's get it on, hey, hey|I know you know what I been dreamin' of, don't you, baby?|My whole body wants that feelin' of love, oh, help me, woo|I ain't gonna worry, no, I ain't gonna push|I won't push you, baby, woo|Come on, come on, come on, come on, darling|Stop beatin' 'round the bush|Oh, gonna get it on, threatenin' you, baby|I wanna get it on|You don't have to worry that it's wrong|If the spirit moves you|Let me groove you good|Let your love come down|Oh, get it on, come on, baby|Do you know the meaning of being sanctified? Hey, hey|Girl, you give me good feeling, so good, somethin' like sanctified|Oh, do right, baby|Nothing wrong with love|If you want to love me, just let yourself go|Oh baby, let's get it on right now24"
1973,3,"Gladys Knight and the Pips","Midnight Train to Georgia","Mm, L.A|Proved too much for the man (Too much for the man, he couldn't make it)|So he's leavin' the life|He's come to know, ooh (He said he's goin')|He said he's goin' back to find (Goin' back to find)|Ooh, ooh, ooh, what's left of his world|The world he left behind not so long ago|He's leavin' (Leavin')|On that midnight train to Georgia (Leavin' on that midnight train)|Mm, yes|Said he's goin' back (Goin' back to find)|To a simpler place and time (Whenever he takes that ride)|Oh, yes, he is (Guess who's gonna be right by his side)|And I'll be with him (I know you will)|On that midnight train to Georgia (Leavin' on that midnight train to Georgia)|Yeah (Woo, woo)|I'd rather live in his world (Live in his world)|Than live without him in mine (Her world is his, his and hers alone)|He kept dreamin' (Dreamin')|Ooh, that someday he'd be a star (A superstar, but he didn't get far)|But he sure found out the hard way|That dreams don't always come true (Dreams don't always come true)|Oh, no, uh-uh (Uh-uh, no, uh-uh)|So he pawned all his hopes|And he even sold his old car|Bought a one-way ticket back|To the life he once knew|Oh, yes, he did, he said he would|Oh, no, he's leavin (Leavin')|On that midnight train to Georgia (Leavin' on that midnight train)|Hmm, yeah|Said he's goin' back to find (Goin' back to find)|Ooh, a simpler place and time (Whenever he takes that ride)|Oh, yeah (Guess who's gonna be right by his side)|I'm gonna be with him (I know you will)|On that midnight train to Georgia (Leavin' on the midnight train to Georgia)|Oh (Woo, woo)|I'd rather live in his world (Live in his world)|Than live without him in mine (Her world is his, his and hers alone)|Ooh, he's leavin' (Leavin')|On the midnight train to Georgia (Leavin' on the midnight train)|Yeah, ooh, y'all|Said he's goin' back to find (Goin' back to find)|Ooh, a simpler place and time (Whenever he takes that ride)|Ooh, y'all, uh-huh (Guess who's gonna be right by his side)|I've got to be with him (I know you will)|On that midnight train to Georgia (Leavin' on the midnight train to Georgia)|Yeah (Woo, woo)|I'd rather live in his world (Live in his world)|Than live without him in mine (Her world is his, his and hers alone)|Oh (For love)|For love (Gonna board)|Gonna board the midnight train to ride|For love (For love)|Gonna board (Gonna board)|Gotta board the midnight train to go|For love (For love)|Gonna board (Gonna board)|Uh-huh, the midnight train to go|My world (For love)|His world (Gonna board)|Our world, mine and his alone (The midnight train to go)|My world (For love)|His world (Gonna board)|Our world, mine and his alone (The midnight train to go)|I've got to go (For love)|I've got to go (Gonna board)|I've got to go, hey (The midnight train to go)|I've got to go (For love)|I've got to go (Gonna board)|Mm (The midnight train to go)|My world (For love)|His world (Gonna board)|My man, his girl (The midnight train to go)|I've got to go (For love)|I've got to go (Gonna board)|Oh, I've got to go (The midnight train to go)|My world (For love)|His world (Gonna board)|Our world, his girl…3"
1973,4,"Aerosmith","Dream On","Every time​ that I look in the mirror|All these lines on my face getting clearer|The past is gone|It went by like dusk to dawn|Isn't that the way?|Everybody's got their dues in life to pay, yeah|I know nobody knows|Where it comes and where it goes|I know it's everybody's sin|You got to lose to know how to win|Half my life's in books' written pages|Lived and learned from fools and from sages|You know it's true|All the feelings come back to you|Sing with me, sing for the year|Sing for the laughter and sing for the tear|Sing with me, if it's just for today|Maybe tomorrow, the good Lord will take you away|Sing with me, sing for the year|Sing for the laughter and sing for the tear|Sing with me, if it's just for today|Maybe tomorrow, the good Lord will take you away|Dream on, dream on, dream on|Dream until your dreams come true|Dream on, dream on, dream on|Dream until your dreams come true|Dream on, dream on|Dream on, dream on|Dream on, dream on|Dream on, ah!|Sing with me, sing for the year|Sing for the laughter and sing for the tear|Sing with me, if it's just for today|Maybe tomorrow, the good Lord will take you away|Sing with me, sing for the year|Sing for the laughter and sing for the tear|Sing with me, if it's just for today|Maybe tomorrow, the good Lord will take you away105"
1973,5,"Stevie Wonder","Living for the City","A boy is born in hard time Mississippi|Surrounded by four walls that ain't so pretty|His parents give him love and affection|To keep him strong, moving in the right direction|Living just enough, just enough for the city|His father works some days for fourteen hours|And you can bet, he barely makes a dollar|His mother goes to scrub the floors for many|And you'd best believe, she hardly gets a penny|Living just enough, just enough for the city (Yeah)|Da da da, da da da da|Da da da da la la la|Da da da da|Da da da la la (Hey)|His sister's black, but she is sho 'nuff pretty|Her skirt is short, but Lord her legs are sturdy|To walk to school, she's got to get up early|Her clothes are old, but never are they dirty|Living just enough, just enough for the city (Mmm)|Her brother's smart, he's got more sense than many|His patience's long, but soon he won't have any|To find a job is like a haystack needle|'Cause where he lives they don't use colored people|Living just enough, just enough for the city (Yeah)|Da da da, da da da da|Da da da da la la la|Da da da da|Da da da la la (Ow)|(Living just enough for the city)|Living for the city, yeah|(Oh, living just enough for the city)|Ain't nothing but a city, eee|(Oh, living just enough for the city)|Living for the city, yeah yeah|(Oh, living just enough for the city)|Nothing but a city, eee|(Oh, living just enough for the city)|Live for the city, yeah yeah|(Oh, living just enough for the city)|The funky, crowded city|(Oh, living just enough for the city)|Ah, live for the city|(Oh, living just enough for the city)|Ain't nothing but a city, woo|(Oh, living just enough for the city)|Everybody clap their hands together now, woo|(Oh, living just enough for the city)|Hmm, for the city yeah|(Oh, living just enough for the city)|For the city, yeah yeah|(Oh, living just enough for the city)|For the city, yeah|(Oh, living just enough for the city)|Da da da, da da da da|Da da da da la la la|Da da da da|Da da da la la|Bus for New York City!|Hey, bus driver! I'm getting on there, hold it. |Thanks a lot. |Wow, New York, just like I pictured it. |Skyscrapers and everything. |Hey, hey brother, hey come here slick. (Huh?)|Hey you look, you look hip man. |Hey, you wanna make yourself five bucks man? (Yeah)|You look hip, run this across the street for me right quick. |Okay, run this across the street for me. |What? Huh? I didn't know! What?|Gimme your hands up you punk!|I'm just going across the street. |Put that leg up, shut your mouth. |Hell no, what did I do?|Okay, turn around, turn around. |Put your hands behind your back, let's go, let's go. |A jury of your peers having found you guilty, ten years. |What?|Come on, come on, get in that cell, nig​ger. |God, Lord. |His hair is long, his feet are hard and gritty|He spends his life walking the streets of New York City|He's almost dead from breathing in air pollution|He tried to vote but to him there's no solution|Living just enough, just enough for the city|I hope you hear inside my voice of sorrow|And that it motivates you to make a better tomorrow|This place is cruel, nowhere could be much colder|If we don't change, the world will soon be over|Living just enough, stop giving just enough for the city|Da da da, da da da da|Da da da da la la la|Da da da da|Da da da la la|Da da da, da da da da|Da da da da la la la|Da da da da|Da da da la la|Da da da, da da da da|Da da da da la la la|Da da da da|Oh, oh|Oh lo lo|Lo lo, lo lo|Lo lo, lo lo|Lo lo8"
1973,6,"Pink Floyd","Money","Money, get away|Get a good job with more pay, and you're okay|Money, it's a gas|Grab that cash with both hands and make a stash|New car, caviar, four-star daydream|Think I'll buy me a football team|Money, get back|I'm alright, Jack, keep your hands off of my stack|Money, it's a hit|Ah, don't give me that do-goody-good bullshit|I'm in the hi-fidelity first class travelling set|And I think I need a Learjet|Money, it's a crime|Share it fairly, but don't take a slice of my pie|Money, so they say|Is the root of all evil today|But if you ask for a rise, it's no surprise that they're giving none away|Away, away, away|Away, away, away|Away, ooh…|- Yeah – (chuckles) – I was in the right!|— Yes, absolutely in the right!|— I certainly was in the right!|— Yeah, I was definitely in the right; that geezer was cruising for a bruising!|— Yeah!|— Why does anyone do anything?|— I don't know, I was really drunk at the time…|— I was just telling him it was in, he could get it in number two. He was asking why it wasn't coming up on fader eleven. After, I was yelling and screaming and telling him why it wasn't coming up on fader eleven. It came to a heavy blow, which sorted the matter out....73"
1973,7,"Billy Joel","Piano Man","It's nine o'clock on a Saturday|The regular crowd shuffles in|There's an old man sitting next to me|Making love to his tonic and gin|He says, Son, can you play me a memory?|I'm not really sure how it goes|But it's sad, and it's sweet, and I knew it complete|When I wore a younger man's clothes”|La, la-la, di-dee-da|La-la di-dee-da da-dum|Sing us a song, you're the piano man|Sing us a song tonight|Well, we're all in the mood for a melody|And you've got us feeling alright|Now John at the bar is a friend of mine|He gets me my drinks for free|And he's quick with a joke, or to light up your smoke|But there's someplace that he'd rather be|He says, Bill, I believe this is killing me”|As the smile ran away from his face|Well, I'm sure that I could be a movie star|If I could get out of this place”|Oh, la, la-la, di-dee-da|La-la di-dee-da da-dum|Now Paul is a real estate novelist|Who never had time for a wife|And he's talking with Davy, who's still in the navy|And probably will be for life|And the waitress is practicing politics|As the businessmen slowly get stoned|Yes, they're sharing a drink they call loneliness|But it's better than drinking alone|Sing us a song, you're the piano man|Sing us a song tonight|Well, we're all in the mood for a melody|And you've got us feeling alright|It's a pretty good crowd for a Saturday|And the manager gives me a smile|'Cause he knows that it's me they've been coming to see|To forget about life for a while|And the piano, it sounds like a carnival|And the microphone smells like a beer|And they sit at the bar and put bread in my jar|And say, Man, what are you doing here?”|Oh, la, la-la, di-dee-da|La-la di-dee-da da-dum|Sing us a song, you're the piano man|Sing us a song tonight|Well, we're all in the mood for a melody|And you've got us feeling alright|"
1973,8,"Roberta Flack","Killing Me Softly with His Song","Strumming my pain with his fingers|Singing my life with his words|Killing me softly with his song|Killing me softly with his song|Telling my whole life with his words|Killing me softly with his song|I heard he sang a good song|I heard he had a style|And so I came to see him|To listen for a while|And there he was this young boy|A stranger to my eyes|Strumming my pain with his fingers|Singing my life with his words|Killing me softly with his song|Killing me softly with his song|Telling my whole life with his words|Killing me softly with his song|I felt all flushed with fever|Embarrassed by the crowd|I felt he found my letters|And read each one out loud|I prayed that he would finish|But he just kept right on|Strumming my pain with his fingers|Singing my life with his words|Killing me softly with his song|Killing me softly with his song|Telling my whole life with his words|Killing me softly with his song|He sang as if he knew me|In all my dark despair|And then he looked right through me|As if I wasn't there|And he just kept on singing|Singing clear and strong|Strumming my pain with his fingers|Singing my life with his words|Killing me softly with his song|Killing me softly with his song|Telling my whole life with his words|Killing me softly with his song|Ohhhh ohhhh ohhhh|Ohh ohh ohh ohh ohh ohh ohh|La la la, la la la|Ohh ohh ohh, ohh ohh ohh|La ahh ahhhhhh haaaaaaaaaaaaaa|Ha ahh ahh, ahh ahh ahh ahh|Strumming my pain with his fingers|Singing my life with his words|Killing me softly with his song|Killing me softly with his song|Telling my whole life with his words|Killing me (softly)|He was strumming my pain|Yeah, he was singing my life|Killing me softly with his song|Killing me softly with his song|Telling my whole life with his words|Killing me softly|With his song10"
1973,9,"Elton John","Goodbye Yellow Brick Road","When are you gonna come down?|When are you going to land?|I should have stayed on the farm|I should have listened to my old man|You know you can't hold me forever|I didn't sign up with you|I'm not a present for your friends to open|This boy's too young to be singin' the blues|Ah, ah-ah, ah-ah|Ah-ah-ah, ah|So goodbye yellow brick road|Where the dogs of society howl|You can't plant me in your penthouse|I'm goin' back to my plough|Back to the howlin' old owl in the woods|Huntin' the horny-back toad|Oh, I've finally decided my future lies|Beyond the yellow brick road|Ah, ah-ah, ah-ah|Ah-ah-ah, ah|What do you think you'll do, then?|I bet they'll shoot down the plane|It'll take you a couple of vodka and tonics|To set you on your feet again|Maybe you'll get a replacement|There's plenty like me to be found|Mongrels who ain't got a penny|Sniffin' for tidbits like you on the ground|Ah, ah-ah, ah-ah|Ah-ah-ah, ah|So goodbye yellow brick road|Where the dogs of society howl|You can't plant me in your penthouse|I'm goin' back to my plough|Back to the howlin' old owl in the woods|Huntin' the horny-back toad|Oh, I've finally decided my future lies|Beyond the yellow brick road|Ah, ah-ah, ah-ah|Ah-ah-ah, ah23"
1973,10,"Isley Brothers","That Lady","Who's that lady? (Who's that lady?)|Beautiful lady (Who's that lady?)|Who's that lady? (Who's that lady?)|That real, real, real fine lady (A beautiful lady)|I wish somebody would introduce her to me|I didn't get a chance (I didn't get a chance)|To ask her to dance (To ask her to dance)|It was love at first sight (Love at first sight)|I just saw her tonight (Saw her tonight)|And I wish somebody would introduce her to me|I like the way she danced in the dark|And disappeared in the night|And, oh, she stole my heart|It was love at first sight|Who's that lady? (Who's that lady?)|That beautiful lady (The beautiful lady)|Who's that lady? (Who's that lady?)|I gotta meet that lady (Who's that lady?)|And I wish somebody would introduce her to me|Woah, who's that lady? (Who's that lady?)|That real fine lady (The beautiful lady)|Who's that lady? (I'm talkin' 'bout that lady)|That beautiful lady (The beautiful lady)|I wish somebody would introduce her to me, yeah, yeah, yeah|(Who's that lady?)|(Who's that lady?)|(The beautiful lady)|(I'm talkin' 'bout that lady)|Said, hey, lady|I'm in love with you, yeah, yeah"
1974,1,"Bob Marley and the Wailers","No Woman, No Cry","No woman, no cry|No woman, no cry|No woman, no cry|No woman, no cry|'Cause, 'cause, 'cause I remember when we used to sit|In the government yard in Trenchtown|Oba, observing the hypocrites, yeah|Mingle with the good people we meet, yeah|Good friends we have had, oh, good friends we've lost along the way, yeah|In this bright future you can't forget your past|So dry your tears I say, yeah|No woman, no cry|No woman, no cry, eh, yeah|Little darling don't shed no tears|No woman, no cry|Eh, said, said, said I remember when we used to sit|In the government yard in Trenchtown, yeah|And then Georgie would make the fire light, I say|A log wood burning through the night|Then we would cook corn meal porridge, I say|Of which I'll share with you, yeah|My feet is my only carriage|And so I've got to push on through|But while I'm gone|Everything's going to be alright|Everything's going to be alright|Everything's going to be alright|Everything's going to be alright|Everything's going to be alright|Everything's going to be alright|Everything's going to be alright|Everything's going to be alright|So no woman, no cry|No woman, no cry, I say|Oh, little, oh, little darling, don't shed no tears|No woman, no cry, eh|No woman, no woman, no woman, no cry|No woman, no cry|One more time I've got to say|Oh, little, little darling, please don't shed no tears|No woman, no cry"
1974,2,"Lynyrd Skynyrd","Sweet Home Alabama","One, two, three|Turn it up|Big wheels keep on turnin'|Carry me home to see my kin|Singin' songs about the southland|I miss Alabamy once again|And I think it's a sin, yes|Well, I heard Mr. Young sing about her (Southern man)|Well, I heard ol' Neil put her down|Well, I hope Neil Young will remember|A Southern man don't need him around, anyhow|Sweet home Alabama|Where the skies are so blue|Sweet home Alabama|Lord, I'm coming home to you|In Birmingham they loved the governor|Boo! Boo! Boo!|Now we all did what we could do|Now Watergate does not bother me|Does your conscience bother you?|Tell the truth|Sweet home Alabama|Where the skies are so blue|Sweet home Alabama|Lord, I'm coming home to you|Here I come, Alabama|Ah-ah-ah, Alabama|Ah-ah-ah, Alabama|Ah-ah-ah, Alabama|Ah-ah-ah, Alabama|Now Muscle Shoals has got the Swampers|And they've been known to pick a song or two (Yes, they do)|Lord, they get me off so much|They pick me up when I'm feeling blue|Well now, how 'bout you?|Sweet home Alabama|Where the skies are so blue|Sweet home Alabama|Lord, I'm coming home to you|Sweet home Alabama (Oh, sweet home, baby)|Where the skies are so blue (And the governor's true)|Sweet home Alabama (Lordy)|Lord, I'm coming home to you (Yeah, yeah)|Mont… Montgomery's got the answer30"
1974,3,"Bachman-Turner Overdrive","You Ain't Seen Nothin' Yet","I met a devil woman|She took my heart away|She said, I've had it comin' to me|But I wanted it that way|I think that any love is good lovin'|So I took what I could get|Mmh, mmh, mmh|She looked at me with big brown eyes|And said|You ain't seen nothin' yet|B-b-b-baby, you just ain't seen n-n-n-nothin' yet|Here's something that you're never gonna forget|B-b-b-baby, you just ain't seen n-n-n-nothin' yet|Nothin' yet, you ain't been around|That's what she told me|And now I'm feelin' better|'Cause I found out for sure|She took me to her doctor|And he told me of a cure|He said that any love is good love|So I took what I could get|Yes, I took what I could get|And then she looked at me with them big brown eyes|And said|You ain't seen nothin' yet|B-b-b-baby, you just ain't seen n-n-n-nothin' yet|Here's something, here's something you're never gonna fff-forget, baby|You know, you know, you know, you just ain't seen nothin' yet|You need an education|Got to go to school|Any lovin' is good lovin'|So I took what I could get|Yes, I took what I could get|And then, and then, and then she looked at me with them big brown eyes|And said|You ain't seen nothin' yet|Baby, you just ain't seen n-n-n-nothin' yet|Here's something, here's something|Here's a lover you're never forget, baby|Baby baby baby, you just ain't seen n-n-n-nothin' yet|You ain't been around|You ain't seen nothin' yet, that's what she told me|She said I need an education|Go to school|I know I ain't seen nothin' yet|I know I ain't seen nothin' yet|Mmh, mmh, mmh|You got something for me when I get home|Better be good|I been everywhere|But I ain't seen nothin' yet|But I deserve it one of these days|Woohoo, but I ain't seen nothin' yet|I ain't seen nothin' yet|Yeah, yeah, yeah, yeah, yeah, yeah|I ain't seen nothin' yet|I'll wait, I'll wait, I'll wait|If you want to show me what I ain't seen, where I ain't been|Lalalalalala|Owowowowowowo6"
1974,4,"George McCrae","Rock Your Baby","Sexy woman!|Woman!|Take me in your arms|Rock your baby|Woman!|Take me in your arms|Rock your baby|There's nothin' to it|Just say you wanna do it|Open up your heart|And let the lovin' start|Woman!|Take me in your arms|Rock your baby|Woman!|Take me in your arms|Rock your baby|Yeah! Hold me tight|With all your might|Now, let your lovin' flow|Real sweet and slow|Woman!|Take me in your arms|Rock your baby|Woman!|Take me in your arms|Rock your baby|C'mon!|Ah!|Woman!|Take me in your arms|Rock your baby|Oo, oo, oo|Woman!|Take me in your arms|Rock your baby|Ah-aaaaaah! Yeah!|Take me in your arms|And rock me|Ah-aaaaaah! Yeah!|Take me in your arms|And rock me|Ah-aaaaaaaaaaaah!|C'mon!|Ah!|Woman!|Take me in your arms|Rock your baby|Oo, oo, oo|Woman!|Take me in your arms|Rock your baby|Ah-aaaaaah! Yeah!|Take me in your arms|And rock me|Ah-aaaaaah! Yeah!|Take me in your arms|And rock me|Ah-aaaaaaaaaaaah!1"
1974,5,"LaBelle","Lady Marmalade","Hey sister, go sister|Soul sister, go sister|Hey sister, go sister|Soul sister, go sister|He met Marmalade down in old New Orleans|Strutting her stuff on the street|She said, Hello, hey Joe|You wanna give it a go? hmm hmm|Gitchi gitchi ya ya da da|Gitchi gitchi ya ya here|Mocha chocolata, ya ya|Creole Lady Marmalade|Voulez-vous coucher avec moi ce soir?|Voulez-vous coucher avec moi?|He stayed in her boudoir (Hey sister, go sister)|While she freshened up (Soul sister, go sister)|That boy drank all that magnolia wine|(Hey sister, go sister, soul sister, go sister)|On her black satin sheets|Where he started to freak|Gitchi gitchi ya ya da da|Gitchi gitchi ya ya here|Mocha chocolata, ya ya|Creole Lady Marmalade|Voulez-vous coucher avec moi ce soir?|Voulez-vous coucher avec moi?|Hey, hey, hey|Touching her skin, feeling silky smooth (Ah!)|Color of cafe au lait|Made the savage beast inside|Roar until it cried|More, more, more!|Now he's at home doing nine to five|Living his grey flannel life|But when he turns off to sleep|Old memories creep|More, more, more!|Gitchi gitchi ya ya da da da|Gitchi gitchi ya ya here|Mocha chocolata, ya ya|Creole Lady Marmalade|Voulez-vous coucher avec moi ce soir?|Voulez-vous coucher avec moi?|Voulez-vous couchez avec moi ce soir?|Creole Lady Marmalade|Voulez-vous coucher avec moi ce soir?|Voulez-vous coucher avec moi?|Voulez-vous couchez avec moi ce soir?|Voulez-vous coucher avec moi?|Voulez-vous coucher avec moi ce soir?|Voulez-vous coucher avec moi?|Voulez-vous coucher avec moi ce soir?|Voulez-vous coucher avec moi?|Gitchi gitchi ya ya da da|Gitchi gitchi ya ya here|Mocha chocolata, ya ya|Gitchi gitchi ya ya here (Ya ya ya ya)|Gitchi gitchi ya ya here6"
